      tokens,        wires,    subscribers,  subscriptions,                       username,     verified
          13,            5,            855,           1113,                      Thedust79,            1
          13,            4,            430,            124,                   VietNamPhoto,            0
          12,           11,           2356,            226,                 StephenMckenna,            0
          12,           10,          30203,             79,                      petergric,            1
          12,            8,           1826,           1084,                       JusticeT,            0
          12,            8,           1413,           1119,                duongnguyen1972,            0
          12,            8,            877,            131,                       CINCCAVE,            0
          12,            6,           1192,            375,                WhiteFireRising,            0
          12,            5,            549,            203,                    Digiphrenik,            0
          12,            4,           1580,           1782,                      daveinsea,            0
          12,            4,            856,              4,                    JohnMurdock,            0
          12,            2,           1122,            257,              Novice_Achievable,            0
          12,            2,            259,             91,                       Sentinus,            0
          11,           15,           3265,           9264,                   phandinhphuc,            0
          11,           10,           1929,           2114,                    DreagusProd,            0
          11,           10,            963,            311,                         Dove11,            0
          11,            9,           3009,           1120,                     giggles108,            0
          11,            9,           2923,           2111,                    Sweetleaf71,            0
          11,            9,           2111,            474,                         Strefa,            0
          11,            9,           1009,            275,                     AdiTude512,            0
          11,            8,           3876,           5162,                       Lukaszxx,            0
          11,            5,            261,             24,                TheObeliskofkek,            0
          11,            5,             88,             82, EroticDigitalRetouches_Designs,            0
          11,            3,           1940,            478,                     RebelRadio,            0
          11,            3,            711,            162,                          i3utm,            0
          11,            2,            150,            140,                 ArcadiusTerron,            0
          10,           21,            584,           1458,              DINHUBOTATMAHATAT,            0
          10,            9,           1440,           1723,                  Elygantthings,            1
          10,            8,           1289,            472,             5LittleBirdies1963,            0
          10,            8,            599,            120,                      StarseedM,            0
          10,            6,           5060,           5754,                     artcarnage,            0
          10,            5,           2027,           3779,                         Teoteo,            1
          10,            5,           1675,           4622,                     Hotusernam,            0
          10,            5,           1595,           1971,                  DirtyWhiteBoy,            0
          10,            5,            217,            249,                       14121412,            0
          10,            4,           3191,              1,                   samreeves707,            0
          10,            3,            605,            141,                        AnnieNg,            0
          10,            3,            151,            103,                  Sanguineskald,            0
          10,            1,            465,            219,                    DaveYeisley,            1
           9,           19,           1680,             39,                        BluePaw,            0
           9,           12,           2762,            704,                   Alpha_Furyan,            0
           9,           10,           1321,           1906,                   DreamVisitor,            0
           9,            9,           1119,            456,                       Drakovor,            0
           9,            8,          15131,            540,                         Peggy2,            1
           9,            8,           1932,           3778,                  s2lethuthuys2,            0
           9,            5,           1118,           6401,                       Waitress,            0
           9,            5,            996,            150,                           Kbay,            0
           9,            5,            876,            227,                       TNKA1988,            0
           9,            5,            779,            350,              UndeadMockingbird,            0
           9,            4,           1304,            452,                    oceanusR337,            0
           9,            4,           1205,             83,                  WalkingCorpse,            0
           9,            3,           1789,           1183,                       edsonmcz,            0
           9,            3,            340,            129,                         el0him,            1
           9,            3,            288,            156,                        MaxAlva,            0
           9,            2,            347,             18,                        bussdee,            0
           9,            1,           1563,           1404,                         fsjkrz,            0
           8,           10,           1694,             23,                    Lelongcuong,            0
           8,            9,           1461,            667,                Quangnguyen2707,            0
           8,            8,           2333,           2195,                  gregorovich13,            0
           8,            8,            987,             12,                 CapitaineCheng,            0
           8,            8,            372,            530,                  Ronaldmanhood,            0
           8,            7,           3003,           4381,              TheOfficialAndrew,            0
           8,            6,           2913,           8326,                       Vanhoile,            0
           8,            6,           2161,           1345,                         Elicia,            0
           8,            6,           1085,            252,                       Somerson,            0
           8,            3,            763,            119,                  ConserveTruth,            0
           8,            3,            146,             78,                      Cloudbill,            0
           8,            2,           1291,           1694,                 Awesomnonymous,            0
           7,            7,           1595,           2221,                  chiyeuminhanh,            0
           7,            7,           1494,           1761,                     LongHoaHoi,            0
           7,            6,           2170,           2178,                   nguyendonque,            0
           7,            6,           1502,           1040,                 EntarteteKunst,            0
           7,            6,           1304,            309,                      dynosarus,            0
           7,            6,           1012,           2969,                  CerberusEvans,            0
           7,            5,            951,            203,            RevengeOfThePatriot,            0
           7,            5,            609,            326,                    Beezulbubba,            1
           7,            5,            394,            187,                  Jeremyward651,            0
           7,            4,           1039,           1092,                       mindsvnt,            1
           7,            4,            416,             31,                   CowboyPariah,            0
           7,            3,           1379,            627,                crackingtrack43,            0
           7,            3,           1355,            858,                       rgnrhino,            0
           7,            3,            921,           1335,                    linhdan3005,            0
           7,            3,            607,            540,                          Why96,            0
           7,            2,           1972,           6524,                  Nguyenduchoan,            0
           7,            2,            209,             18,              StephenBeets00001,            0
           7,            2,            103,              5,                 NadirSaintPrix,            0
           7,            1,            254,             24,                        mokukom,            0
           7,            1,             35,             15,                        Ioana24,            0
           7,            1,              5,              6,                   SweetLew3122,            0
           6,            8,           1949,           4386,        Hanoimuavangnhungconmua,            0
           6,            8,           1779,           1442,                 ngotruonghai24,            0
           6,            7,           5090,           3034,                  WesternSpirit,            1
           6,            7,           1388,             59,                  Danasfreemind,            0
           6,            6,            420,           6994,                 monngonvietnam,            0
           6,            6,            408,            196,                VirtualUniverse,            0
           6,            5,           2081,            344,                  slothlydoesit,            0
           6,            5,           1720,            390,                      NathanLam,            0
           6,            5,           1505,            226,                     jcinchrist,            0
           6,            5,            156,             16,                         Kyrima,            0
           6,            4,           1482,             97,                      Claus_Lue,            0
           6,            4,            154,            125,                     Halulyarts,            0
           6,            3,            447,            140,                        Senor01,            0
           6,            3,            370,            152,                    Skullmonkie,            0
           6,            3,            267,             52,                        MTZIGGY,            0
           6,            3,             72,              5,               PrometheusandBob,            0
           6,            2,           3258,              9,                     TrumpMemes,            0
           6,            2,            593,            207,                    ChildInTime,            0
           6,            2,            257,            502,                    Deprogramed,            0
           6,            2,            225,             78,                          MaiVu,            0
           6,            2,            155,             12,                      EJGOMEZ78,            0
           6,            1,            257,              1,                 Matt_Kloepping,            0
           5,            7,            334,             96,                  MartinezRamos,            0
           5,            6,           2441,          10394,                      BadGirl16,            0
           5,            6,           1253,           3209,                    strategesis,            0
           5,            5,           2875,          16601,                         Nolove,            0
           5,            5,           2501,           1949,                     beerhunter,            0
           5,            5,           1858,           1407,                     Francolino,            0
           5,            5,           1784,           1931,                      Doglaeron,            0
           5,            5,           1657,           1017,                LaurenceBacchus,            1
           5,            5,            876,            229,                majesticvirtues,            1
           5,            5,            723,            272,                     hesman3000,            0
           5,            5,            642,            354,                       nhanthai,            0
           5,            5,            406,           6868,                     chauchaunn,            0
           5,            4,           4646,             95,                    ManlyAdvice,            0
           5,            4,           3521,          24322,                       shaffcal,            0
           5,            4,           1870,            754,                       Jcory444,            0
           5,            4,           1741,           1137,                         OroHai,            0
           5,            4,           1630,            723,                          Incal,            0
           5,            4,           1285,            876,                        Mournen,            0
           5,            4,           1252,           1124,                    BurntNorton,            0
           5,            4,            856,            798,                       17tjones,            0
           5,            4,            678,            789,          Alex_Mendocino_Martin,            0
           5,            4,            506,            123,                Senpai_zeze_fly,            0
           5,            4,            305,            245,                       Jesse313,            0
           5,            3,           5938,          39281,                         Charit,            0
           5,            3,           3620,           6535,                ChristianLeague,            0
           5,            3,           2569,             36,                     Oldmanrant,            0
           5,            3,           1372,           5562,                HumbleHashMaker,            0
           5,            3,           1039,            824,                       zilla911,            0
           5,            3,             24,            176,                    VeNguon2018,            0
           5,            2,           1261,            162,                    Marce_Tully,            0
           5,            1,           1394,             31,                       HannaLei,            1
           5,            1,           1323,           1895,                       Jokerman,            0
           5,            1,           1055,           1051,                          VuaHe,            0
           5,            1,            671,            518,                      RatSkates,            0
           5,            1,            254,             25,                    Tyagananda1,            0
           5,            1,            209,             56,                      chadwik99,            0
           5,            1,            205,             84,                   RansomBackus,            0
           5,            1,            168,             38,                         TimLnu,            0
           5,            1,            128,             74,                    LordShooter,            0
           5,            1,            123,             44,                    Spuggiehawk,            0
           5,            1,            105,             28,                   bitshares101,            0
           5,            1,             77,             74,                    BruceBlegen,            0
           4,            8,           1503,            604,                      MaxOgburn,            0
           4,            6,            966,           1030,             TheHangingProphets,            0
           4,            6,            900,             91,                    OnyxLaFever,            0
           4,            5,           1737,           2361,                       cherryfa,            0
           4,            5,            695,            551,                      A1D4A1m53,            0
           4,            5,            231,            105,                   lethienthuan,            1
           4,            5,            206,            113,                      DaveGreem,            0
           4,            5,            156,             65,                         pankso,            0
           4,            4,           5391,           3347,                    FutureShock,            1
           4,            4,           1983,           4841,                   MrCuongJacky,            0
           4,            4,           1706,           3350,             VeNguonTayNinh2018,            0
           4,            4,           1572,           3027,                     Uyenpu1510,            0
           4,            4,            971,            283,                    Offgridlife,            0
           4,            4,            935,            510,                  ClintonJHurst,            0
           4,            4,            553,            114,              ChocolateStarfish,            0
           4,            4,            343,            225,                     PKVariance,            1
           4,            4,            308,            114,                       rfjardim,            0
           4,            3,           5717,          32800,                        ericola,            0
           4,            3,           4702,          55278,                    DragonBlood,            0
           4,            3,           3019,           1927,                       Sukie007,            0
           4,            3,           1644,           2529,               AntonNguyenDuong,            0
           4,            3,           1401,           1739,                 MrJonnySorfums,            0
           4,            3,           1021,            384,               hakurokurokuroku,            0
           4,            3,            899,            129,                     Evilbucket,            0
           4,            3,            694,           9799,                       rambutan,            0
           4,            3,            379,           7578,                       boxy2014,            0
           4,            3,            365,            745,                    changkhoseo,            0
           4,            3,            297,          10364,                    songcungcon,            0
           4,            3,            242,             93,                 PraetorianJuno,            0
           4,            3,            223,            196,                          DadaE,            0
           4,            3,            132,             52,                        AdrianS,            0
           4,            3,             57,              7,                   IsabellaBlue,            0
           4,            2,           2766,            335,                  thienduyen358,            0
           4,            2,           1830,           7673,                  beautyvietnam,            0
           4,            2,           1188,           1145,                        Codypdn,            0
           4,            2,           1135,             93,             Victor_von_Doom_Jr,            0
           4,            2,            879,             10,                     SpikeTalon,            0
           4,            2,            749,            675,                       GemStar7,            0
           4,            2,            501,          10605,                   tinhtinhrung,            0
           4,            2,            296,             44,                 carillonthinly,            0
           4,            2,            232,            324,                        Guylain,            0
